310199-547C;Joni;Nikula;+358402245666;Hämeenkatu 17.33800.Tampere;joni.nikula@gmail.com
230112Y142C;Veeti;Vikkelä;0234269021;Pelkopolku 2..;
110183-857C;Kalle;Lehmänen;0443556212;Hämeenkatu 17.33800.Varkaus;moikkuli@hotmail.com
120403Y250C;Pieta;Pohjolainen;3493230636;Kaikukuja 3 C6.09000.Oulu;
310199-547C;Joni;Nikula;+358402245666;Hämeenkatu 17.33800.Oulu;joni.nikula@gmail.com
230967-098W;Kalle;Kokkonen;2222222222;..;
121212-1212;Jenna;Joukahainen;1212121212;Kalevankatu 3.33800.Tampere;
190522-2345;Outi;Maahinen;+358232232322;Kolikatu 3.72020.Rauma;pää.pää@pää.com
110923-454G;Kai;Pirinen;+358224539123;Pispalantie 3 C5..Petsamo;tuukka.rintala@lol.hue.org
191229-1234;Monttu;Jyystö;0553420909;..;
240390-234G;Päärynä;Pelle;0203432343;Näsilinnankatu 22 B4.33500.Tampere;päärynä.pelle@hotmail.com
231020-123D;Koli;Mäyrä;+358402346198;Lönnrotinkatu 6..;mäyrä.päyrä@mbnet.fi
